# Annotated with Bakta
# Software: v1.10.4
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
OLU4_1	cds	1	480	-	OLU4_001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A812F1V5
OLU4_1	cds	477	1508	-	OLU4_002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B6497
OLU4_1	cds	1510	2292	-	OLU4_003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C1YZS6
OLU4_1	cds	2331	3386	-	OLU4_004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084AC902
OLU4_1	cds	3490	3894	+	OLU4_005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C1VKY2
OLU4_1	cds	3922	4638	+	OLU4_006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B4270
OLU4_1	cds	4642	5367	+	OLU4_007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B7A9B
OLU4_1	cds	5369	5836	+	OLU4_008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B406D
OLU4_1	cds	5904	6602	+	OLU4_009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K5UKR8
OLU4_1	cds	6597	7592	-	OLU4_010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084A8779
OLU4_1	cds	7596	8861	-	OLU4_011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084ADE9D
OLU4_1	cds	8855	9913	-	OLU4_012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B0C76
OLU4_1	cds	9910	10899	-	OLU4_013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00084B96D0
OLU4_1	cds	11034	11975	-	OLU4_014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1E4UD32
